itemUID,issueDate,itemResidency,duration,durationValue,residency,state,itemType,itemYear,price,birthYear,gender,county,customerUID,age
3789,2010-09-23,T,Season,1,T,NE,Deer,2010,30,1956,Male,butler,2,54
3953,2010-10-03,T,Season,1,T,NE,Deer,2010,11,1956,Male,butler,2,54
4521,2010-11-02,T,Season,1,T,NE,Deer,2010,30,1956,Male,butler,2,54
5148,2010-11-19,T,Season,1,T,NE,Deer,2010,30,1956,Male,butler,2,54
5852,2011-01-06,T,Annual,1,T,NE,Hunt Fish Combo,2011,30,1956,Male,butler,2,55
9375,2011-10-03,T,Season,1,T,NE,Deer,2011,11,1956,Male,butler,2,55
9478,2011-10-10,T,Season,1,T,NE,Deer,2011,30,1956,Male,butler,2,55
9958,2011-11-04,T,Season,1,T,NE,Deer,2011,30,1956,Male,butler,2,55
11233,2012-01-04,T,Annual,1,T,NE,Hunt Fish Combo,2012,30,1956,Male,butler,2,56
15322,2012-10-26,T,Season,1,T,NE,Deer,2012,30,1956,Male,butler,2,56
15323,2012-10-26,T,Season,1,T,NE,Deer,2012,30,1956,Male,butler,2,56
16598,2013-01-04,T,Annual,1,T,NE,Hunt Fish Combo,2013,30,1956,Male,butler,2,57
20261,2013-10-13,T,Season,1,T,NE,Deer,2013,30,1956,Male,butler,2,57
20788,2013-11-10,T,Season,1,T,NE,Deer,2013,30,1956,Male,butler,2,57
21906,2014-01-06,T,Annual,1,T,NE,Hunt Fish Combo,2014,30,1956,Male,butler,2,58
26010,2014-11-07,T,Season,1,T,NE,Deer,2014,30,1956,Male,butler,2,58
26060,2014-11-09,T,Season,1,T,NE,Deer,2014,30,1956,Male,butler,2,58
27221,2015-01-05,T,Annual,1,T,NE,Hunt Fish Combo,2015,30,1956,Male,butler,2,59
31333,2015-11-05,T,Season,1,T,NE,Deer,2015,30,1956,Male,butler,2,59
31488,2015-11-10,T,Season,1,T,NE,Deer,2015,30,1956,Male,butler,2,59
32423,2015-12-30,T,Season,1,T,NE,Deer,2015,30,1956,Male,butler,2,59
32635,2016-01-05,T,Annual,1,T,NE,Hunt Fish Combo,2016,31,1956,Male,butler,2,60
32636,2016-01-05,T,Season,1,T,NE,Deer,2015,11,1956,Male,butler,2,60
36680,2016-10-29,T,Season,1,T,NE,Deer,2016,31,1956,Male,butler,2,60
36681,2016-10-29,T,Season,1,T,NE,Deer,2016,31,1956,Male,butler,2,60
37464,2016-11-18,T,Season,1,T,NE,Deer,2016,12,1956,Male,butler,2,60
38223,2017-01-10,T,Annual,1,T,NE,Hunt Fish Combo,2017,37,1956,Male,butler,2,61
42177,2017-11-07,T,Season,1,T,NE,Deer,2017,37,1956,Male,butler,2,61
42178,2017-11-07,T,Season,1,T,NE,Deer,2017,37,1956,Male,butler,2,61
43072,2018-01-02,T,Annual,1,T,NE,Hunt Fish Combo,2018,37,1956,Male,butler,2,62
47140,2018-11-07,T,Season,1,T,NE,Deer,2018,37,1956,Male,butler,2,62
3217,2010-08-07,T,Season,1,T,NE,Deer,2010,30,1953,Male,lancaster,3,57
3218,2010-08-07,T,Season,1,T,NE,Deer,2010,30,1953,Male,lancaster,3,57
3219,2010-08-07,T,Season,1,T,NE,Deer,2010,30,1953,Male,lancaster,3,57
10318,2011-11-13,T,Season,1,T,NE,Deer,2011,30,1953,Male,lancaster,3,58
15633,2012-11-08,T,Season,1,T,NE,Deer,2012,30,1953,Male,lancaster,3,59
20515,2013-10-28,T,Season,1,T,NE,Deer,2013,30,1953,Male,lancaster,3,60
20516,2013-10-28,T,Season,1,T,NE,Deer,2013,30,1953,Male,lancaster,3,60
20517,2013-10-28,T,Season,1,T,NE,Deer,2013,30,1953,Male,lancaster,3,60
25935,2014-11-05,T,Season,1,T,NE,Deer,2014,30,1953,Male,lancaster,3,61
25936,2014-11-05,T,Season,1,T,NE,Deer,2014,30,1953,Male,lancaster,3,61
31729,2015-11-15,T,Season,1,T,NE,Deer,2015,30,1953,Male,lancaster,3,62
31730,2015-11-15,T,Season,1,T,NE,Deer,2015,73.5,1953,Male,lancaster,3,62
36955,2016-11-07,T,Season,1,T,NE,Deer,2016,74.5,1953,Male,lancaster,3,63
36956,2016-11-07,T,Season,1,T,NE,Deer,2016,31,1953,Male,lancaster,3,63
37209,2016-11-13,T,Season,1,T,NE,Deer,2016,31,1953,Male,lancaster,3,63
37406,2016-11-15,T,Season,1,T,NE,Deer,2016,31,1953,Male,lancaster,3,63
42052,2017-11-03,T,Season,1,T,NE,Deer,2017,37,1953,Male,lancaster,3,64
47206,2018-11-09,T,Season,1,T,NE,Deer,2018,37,1953,Male,lancaster,3,65
47207,2018-11-09,T,Season,1,T,NE,Deer,2018,88,1953,Male,lancaster,3,65
661,2010-02-05,T,Annual,1,T,NE,Hunt Fish Combo,2010,5,1937,Male,gage,4,73
5055,2010-11-15,T,Annual,1,T,NE,Hunt Fish Combo,2011,5,1937,Male,gage,4,73
10556,2011-11-18,T,Annual,1,T,NE,Hunt Fish Combo,2012,5,1937,Male,gage,4,74
15521,2012-11-03,T,Annual,1,T,NE,Hunt Fish Combo,2013,5,1937,Male,gage,4,75
23327,2014-05-07,T,Annual,1,T,NE,Hunt Fish Combo,2014,5,1937,Male,gage,4,77
26572,2014-11-20,T,Annual,1,T,NE,Hunt Fish Combo,2015,5,1937,Male,gage,4,77
31990,2015-11-21,T,Annual,1,T,NE,Hunt Fish Combo,2016,5,1937,Male,gage,4,78
4043,2010-10-07,T,Season,1,T,NE,Deer,2010,30,1973,Male,sarpy,5,37
4872,2010-11-13,T,Annual,1,T,NE,Hunt,2010,14,1973,Male,sarpy,5,37
20632,2013-11-03,T,Annual,1,T,NE,Hunt,2013,14,1973,Male,sarpy,5,40
20663,2013-11-03,NA,Annual,1,T,NE,WaterFowl,2013,5,1973,Male,sarpy,5,40
26092,2014-11-10,T,Annual,1,T,NE,Hunt,2014,14,1973,Male,sarpy,5,41
26120,2014-11-10,NA,Annual,1,T,NE,WaterFowl,2014,5,1973,Male,sarpy,5,41
28511,2015-04-26,T,Annual,1,T,NE,Hunt,2015,14,1973,Male,sarpy,5,42
28512,2015-04-26,T,Season,1,T,NE,Spring Turkey,2015,24,1973,Male,sarpy,5,42
37494,2016-11-20,T,Annual,1,T,NE,Hunt,2016,15,1973,Male,sarpy,5,43
46963,2018-11-01,T,Season,1,T,NE,Deer,2018,37,1973,Male,sarpy,5,45
2282,2010-06-04,T,Annual,1,T,NE,Hunt Fish Combo,2010,30,1992,Male,hall,6,18
5487,2010-12-19,T,Lifetime (age 16-45),99,T,NE,Hunt Fish Combo,2010,599,1992,Male,hall,6,18
5499,2010-12-19,NA,Lifetime,99,T,NE,WaterFowl,2010,100,1992,Male,hall,6,18
5886,2011-01-08,T,Season,1,T,NE,Deer,2010,30,1992,Male,hall,6,19
7111,2011-04-25,T,Season,1,T,NE,Spring Turkey,2011,24,1992,Male,hall,6,19
10917,2011-12-19,T,Season,1,T,NE,Deer,2011,30,1992,Male,hall,6,19
11348,2012-01-09,T,Season,1,T,NE,Deer,2011,30,1992,Male,hall,6,20
16310,2012-12-19,T,Season,1,T,NE,Deer,2012,30,1992,Male,hall,6,20
1992,2010-05-23,T,Annual,1,T,NE,Hunt Fish Combo,2010,5,1935,Male,hall,7,75
7168,2011-04-28,T,Annual,1,T,NE,Hunt Fish Combo,2011,5,1935,Male,hall,7,76
13252,2012-05-23,T,Annual,1,T,NE,Hunt Fish Combo,2012,5,1935,Male,hall,7,77
23467,2014-05-18,T,Annual,1,T,NE,Hunt Fish Combo,2014,5,1935,Male,hall,7,79
29183,2015-06-05,T,Annual,1,T,NE,Hunt Fish Combo,2015,5,1935,Male,hall,7,80
33972,2016-04-24,T,Annual,1,T,NE,Hunt Fish Combo,2016,5,1935,Male,hall,7,81
41156,2017-09-02,T,Annual,1,T,NE,Hunt Fish Combo,2017,5,1935,Male,hall,7,82
45819,2018-08-01,T,Annual,1,T,NE,Hunt Fish Combo,2018,5,1935,Male,hall,7,83
2692,2010-06-24,T,Season,1,T,NE,Deer,2010,30,1963,Male,knox,8,47
4947,2010-11-14,T,Annual,1,T,NE,Hunt,2010,14,1963,Male,knox,8,47
8652,2011-08-06,T,Season,1,T,NE,Deer,2011,30,1963,Male,knox,8,48
15258,2012-10-22,T,Season,1,T,NE,Deer,2012,30,1963,Male,knox,8,49
15949,2012-11-14,T,Annual,1,T,NE,Hunt,2012,14,1963,Male,knox,8,49
20400,2013-10-22,T,Season,1,T,NE,Deer,2013,30,1963,Male,knox,8,50
25627,2014-10-21,T,Season,1,T,NE,Deer,2014,30,1963,Male,knox,8,51
30874,2015-10-11,T,Season,1,T,NE,Deer,2015,30,1963,Male,knox,8,52
36810,2016-11-03,T,Season,1,T,NE,Deer,2016,31,1963,Male,knox,8,53
41798,2017-10-21,T,Season,1,T,NE,Deer,2017,37,1963,Male,knox,8,54
41799,2017-10-21,T,Season,1,T,NE,Deer,2017,37,1963,Male,knox,8,54
46556,2018-10-10,T,Season,1,T,NE,Deer,2018,37,1963,Male,knox,8,55
46557,2018-10-10,T,Season,1,T,NE,Deer,2018,37,1963,Male,knox,8,55
46807,2018-10-26,T,Annual,1,T,NE,Fish,2018,23,1963,Male,knox,8,55
4673,2010-11-07,T,Annual,1,T,NE,Hunt,2010,14,1966,Male,nemaha,9,44
4674,2010-11-07,T,Annual,1,T,NE,Hunt,2010,14,1966,Male,nemaha,9,44
4726,2010-11-09,T,Season,1,T,NE,Deer,2010,30,1966,Male,nemaha,9,44
9959,2011-11-04,T,Annual,1,T,NE,Hunt,2011,14,1966,Male,nemaha,9,45
20487,2013-10-27,T,Annual,1,T,NE,Hunt,2013,14,1966,Male,nemaha,9,47
30119,2015-08-09,T,Annual,1,T,NE,Fish,2015,18.5,1966,Male,nemaha,9,49
2727,2010-06-27,T,Season,1,T,NE,Deer,2010,30,1980,Male,lancaster,10,30
2769,2010-06-29,T,Annual,1,T,NE,Hunt Fish Combo,2010,30,1980,Male,lancaster,10,30
4309,2010-10-24,T,Season,1,T,NE,Deer,2010,30,1980,Male,lancaster,10,30
4948,2010-11-14,T,Season,1,T,NE,Deer,2010,30,1980,Male,lancaster,10,30
7308,2011-05-07,T,Annual,1,T,NE,Hunt Fish Combo,2011,30,1980,Male,lancaster,10,31
9906,2011-11-02,T,Season,1,T,NE,Deer,2011,30,1980,Male,lancaster,10,31
9907,2011-11-02,T,Season,1,T,NE,Deer,2011,30,1980,Male,lancaster,10,31
15663,2012-11-09,T,Season,1,T,NE,Deer,2012,30,1980,Male,lancaster,10,32
15664,2012-11-09,T,Season,1,T,NE,Deer,2012,30,1980,Male,lancaster,10,32
18183,2013-05-18,T,Annual,1,T,NE,Fish,2013,18.5,1980,Male,lancaster,10,33
20146,2013-10-05,T,Season,1,T,NE,Deer,2013,30,1980,Male,lancaster,10,33
20147,2013-10-05,T,Season,1,T,NE,Deer,2013,30,1980,Male,lancaster,10,33
22765,2014-04-13,T,Season,1,T,NE,Spring Turkey,2014,24,1980,Male,lancaster,10,34
23081,2014-04-26,T,Annual,1,T,NE,Fish,2014,18.5,1980,Male,lancaster,10,34
25692,2014-10-25,T,Season,1,T,NE,Deer,2014,30,1980,Male,lancaster,10,34
25693,2014-10-25,T,Season,1,T,NE,Deer,2014,30,1980,Male,lancaster,10,34
28496,2015-04-25,T,Annual,1,T,NE,Fish,2015,18.5,1980,Male,lancaster,10,35
31422,2015-11-08,T,Season,1,T,NE,Deer,2015,73.5,1980,Male,lancaster,10,35
36884,2016-11-05,T,Season,1,T,NE,Deer,2016,31,1980,Male,lancaster,10,36
36885,2016-11-05,T,Season,1,T,NE,Deer,2016,31,1980,Male,lancaster,10,36
42005,2017-11-01,T,Season,1,T,NE,Deer,2017,37,1980,Male,lancaster,10,37
42006,2017-11-01,T,Season,1,T,NE,Deer,2017,37,1980,Male,lancaster,10,37
47301,2018-11-11,T,Season,1,T,NE,Deer,2018,37,1980,Male,lancaster,10,38
1552,2010-04-23,T,Annual,1,T,NE,Hunt Fish Combo,2010,5,1933,Female,dodge,11,77
6479,2011-03-22,T,Annual,1,T,NE,Hunt Fish Combo,2011,5,1933,Female,dodge,11,78
13171,2012-05-19,T,Annual,1,T,NE,Hunt Fish Combo,2012,5,1933,Female,dodge,11,79
4675,2010-11-07,T,Season,1,T,NE,Deer,2010,30,1936,Male,madison,12,74
4676,2010-11-07,T,Annual,1,T,NE,Hunt Fish Combo,2010,5,1936,Male,madison,12,74
13563,2012-06-08,T,Annual,1,T,NE,Hunt Fish Combo,2012,5,1940,Male,douglas,13,72
917,2010-03-27,T,Annual,1,T,NE,Hunt Fish Combo,2010,30,1956,Male,dakota,14,54
6191,2011-02-05,T,Annual,1,T,NE,Fish,2011,18.5,1956,Male,dakota,14,55
11625,2012-02-20,T,Annual,1,T,NE,Fish,2012,18.5,1956,Male,dakota,14,56
16662,2013-01-06,T,Annual,1,T,NE,Fish,2013,18.5,1956,Male,dakota,14,57
22522,2014-03-31,T,Annual,1,T,NE,Fish,2014,18.5,1956,Male,dakota,14,58
27990,2015-03-31,T,Annual,1,T,NE,Fish,2015,18.5,1956,Male,dakota,14,59
32885,2016-01-25,T,Annual,1,T,NE,Fish,2016,19.5,1956,Male,dakota,14,60
38537,2017-02-18,T,Annual,1,T,NE,Fish,2017,23,1956,Male,dakota,14,61
44608,2018-05-14,T,Annual,1,T,NE,Fish,2018,23,1956,Male,dakota,14,62
21033,2013-11-17,T,Season,1,T,NE,Deer,2013,6,1999,Male,antelope,15,14
25446,2014-10-06,T,Season,1,T,NE,Deer,2014,6,1999,Male,antelope,15,15
28052,2015-04-04,T,Season,1,T,NE,Spring Turkey,2015,6,1999,Male,antelope,15,16
31016,2015-10-19,T,Season,1,T,NE,Deer,2015,6,1999,Male,antelope,15,16
33476,2016-03-28,T,Season,1,T,NE,Spring Turkey,2016,7,1999,Male,antelope,15,17
36055,2016-09-11,T,Season,1,T,NE,Deer,2016,7,1999,Male,antelope,15,17
38972,2017-04-04,T,Season,1,T,NE,Spring Turkey,2017,8,1999,Male,antelope,15,18
41114,2017-08-31,T,Season,1,T,NE,Deer,2017,8,1999,Male,antelope,15,18
42078,2017-11-04,T,Season,1,T,NE,Deer,2017,8,1999,Male,antelope,15,18
43819,2018-03-26,T,Season,1,T,NE,Spring Turkey,2018,8,1999,Male,antelope,15,19
46137,2018-09-03,T,Season,1,T,NE,Deer,2018,8,1999,Male,antelope,15,19
46138,2018-09-03,T,Season,1,T,NE,Deer,2018,8,1999,Male,antelope,15,19
276,2010-01-03,T,Annual,1,T,NE,Hunt,2010,14,1993,Male,scotts bluff,16,17
305,2010-01-03,NA,Annual,1,T,NE,WaterFowl,2010,5,1993,Male,scotts bluff,16,17
4871,2010-11-13,T,Season,1,T,NE,Deer,2010,30,1993,Male,scotts bluff,16,17
8932,2011-09-05,T,Annual,1,T,NE,Hunt,2011,14,1993,Male,scotts bluff,16,18
8958,2011-09-05,NA,Annual,1,T,NE,WaterFowl,2011,5,1993,Male,scotts bluff,16,18
10133,2011-11-10,T,Season,1,T,NE,Deer,2011,30,1993,Male,scotts bluff,16,18
12212,2012-03-31,T,Annual,1,T,NE,Fish,2012,18.5,1993,Male,scotts bluff,16,19
12227,2012-04-01,T,Season,1,T,NE,Spring Turkey,2012,24,1993,Male,scotts bluff,16,19
14604,2012-09-09,T,Annual,1,T,NE,Hunt,2012,14,1993,Male,scotts bluff,16,19
14622,2012-09-09,NA,Annual,1,T,NE,WaterFowl,2012,5,1993,Male,scotts bluff,16,19
15760,2012-11-11,T,Season,1,T,NE,Deer,2012,30,1993,Male,scotts bluff,16,19
16599,2013-01-04,T,Annual,1,T,NE,Hunt,2013,14,1993,Male,scotts bluff,16,20
16621,2013-01-04,NA,Annual,1,T,NE,WaterFowl,2013,5,1993,Male,scotts bluff,16,20
22726,2014-04-12,F,3-Day,1,T,NE,Fish,2014,17.5,1993,Male,scotts bluff,16,21
22871,2014-04-17,F,Annual,1,T,NE,Fish,2014,50.5,1993,Male,scotts bluff,16,21
25103,2014-09-07,F,Annual,1,T,NE,Hunt,2014,81,1993,Male,scotts bluff,16,21
25121,2014-09-07,NA,Annual,1,T,NE,WaterFowl,2014,5,1993,Male,scotts bluff,16,21
27179,2015-01-04,F,Annual,1,T,NE,Hunt,2015,81,1993,Male,scotts bluff,16,22
27207,2015-01-04,NA,Annual,1,T,NE,WaterFowl,2015,5,1993,Male,scotts bluff,16,22
32529,2016-01-03,F,Annual,1,T,NE,Hunt,2016,82,1993,Male,scotts bluff,16,23
32578,2016-01-03,NA,Annual,1,T,NE,WaterFowl,2016,5.5,1993,Male,scotts bluff,16,23
33264,2016-03-13,F,Annual,1,T,NE,Fish,2016,51.5,1993,Male,scotts bluff,16,23
37866,2016-12-26,F,Annual,1,T,NE,Hunt Fish Combo,2017,144,1993,Male,scotts bluff,16,23
38001,2017-01-02,NA,Annual,1,T,NE,WaterFowl,2017,10,1993,Male,scotts bluff,16,24
40489,2017-06-30,F,Season,1,T,NE,Deer,2017,242,1993,Male,scotts bluff,16,24
43073,2018-01-02,F,Annual,1,T,NE,Hunt Fish Combo,2018,144,1993,Male,scotts bluff,16,25
46288,2018-09-14,T,Season,1,T,NE,Deer,2018,37,1993,Male,scotts bluff,16,25
47786,2018-12-21,NA,Annual,1,T,NE,WaterFowl,2018,10,1993,Male,scotts bluff,16,25
382,2010-01-06,T,Annual,1,T,NE,Hunt Fish Combo,2010,5,1936,Male,scotts bluff,17,74
3897,2010-09-30,T,Season,1,T,NE,Deer,2010,30,1936,Male,scotts bluff,17,74
3898,2010-09-30,T,Season,1,T,NE,Deer,2010,30,1936,Male,scotts bluff,17,74
8768,2011-08-19,T,Season,1,T,NE,Deer,2011,30,1936,Male,scotts bluff,17,75
8769,2011-08-19,T,Season,1,T,NE,Deer,2011,30,1936,Male,scotts bluff,17,75
8770,2011-08-19,T,Annual,1,T,NE,Hunt Fish Combo,2011,5,1936,Male,scotts bluff,17,75
11568,2012-02-03,T,Annual,1,T,NE,Hunt Fish Combo,2012,5,1936,Male,scotts bluff,17,76
14269,2012-08-03,T,Season,1,T,NE,Deer,2012,30,1936,Male,scotts bluff,17,76
14270,2012-08-03,T,Season,1,T,NE,Deer,2012,30,1936,Male,scotts bluff,17,76
16632,2013-01-05,T,Annual,1,T,NE,Hunt Fish Combo,2013,5,1936,Male,scotts bluff,17,77
19847,2013-09-08,T,Season,1,T,NE,Deer,2013,30,1936,Male,scotts bluff,17,77
19848,2013-09-08,T,Season,1,T,NE,Deer,2013,30,1936,Male,scotts bluff,17,77
21975,2014-01-11,T,Annual,1,T,NE,Hunt Fish Combo,2014,5,1936,Male,scotts bluff,17,78
25809,2014-10-31,T,Season,1,T,NE,Deer,2014,30,1936,Male,scotts bluff,17,78
31362,2015-11-06,T,Annual,1,T,NE,Hunt Fish Combo,2015,5,1936,Male,scotts bluff,17,79
31363,2015-11-06,T,Season,1,T,NE,Deer,2015,30,1936,Male,scotts bluff,17,79
36700,2016-10-30,T,Annual,1,T,NE,Hunt Fish Combo,2016,5,1936,Male,scotts bluff,17,80
36701,2016-10-30,T,Season,1,T,NE,Deer,2016,31,1936,Male,scotts bluff,17,80
35712,2016-08-17,T,Annual,1,T,NE,Hunt Fish Combo,2016,5,1934,Male,adams,18,82
939,2010-03-28,T,Annual,1,T,NE,Hunt Fish Combo,2010,5,1940,Male,lancaster,19,70
6426,2011-03-18,T,Annual,1,T,NE,Hunt Fish Combo,2011,5,1940,Male,lancaster,19,71
11559,2012-02-02,T,Annual,1,T,NE,Hunt Fish Combo,2012,5,1940,Male,lancaster,19,72
16841,2013-01-16,T,Annual,1,T,NE,Hunt Fish Combo,2013,5,1940,Male,lancaster,19,73
22571,2014-04-02,T,Annual,1,T,NE,Hunt Fish Combo,2014,5,1940,Male,lancaster,19,74
27935,2015-03-29,T,Annual,1,T,NE,Hunt Fish Combo,2015,5,1940,Male,lancaster,19,75
32439,2015-12-31,T,Annual,1,T,NE,Hunt Fish Combo,2016,5,1940,Male,lancaster,19,75
38645,2017-03-02,T,Annual,1,T,NE,Hunt Fish Combo,2017,5,1940,Male,lancaster,19,77
42861,2017-12-14,T,Annual,1,T,NE,Hunt Fish Combo,2018,5,1940,Male,lancaster,19,77
4949,2010-11-14,T,Season,1,T,NE,Deer,2010,15.5,1954,Male,lincoln,20,56
10599,2011-11-20,T,Season,1,T,NE,Deer,2011,15.5,1954,Male,lincoln,20,57
15609,2012-11-07,T,Season,1,T,NE,Deer,2012,15.5,1954,Male,lincoln,20,58
703,2010-02-15,T,Annual,1,T,NE,Hunt Fish Combo,2010,30,1976,Male,douglas,21,34
4361,2010-10-27,T,Season,1,T,NE,Deer,2010,30,1976,Male,douglas,21,34
6213,2011-02-11,T,Annual,1,T,NE,Hunt Fish Combo,2011,30,1976,Male,douglas,21,35
8268,2011-07-13,T,Season,1,T,NE,Deer,2011,30,1976,Male,douglas,21,35
11371,2012-01-10,T,Annual,1,T,NE,Hunt Fish Combo,2012,30,1976,Male,douglas,21,36
13566,2012-06-08,T,Season,1,T,NE,Deer,2012,30,1976,Male,douglas,21,36
15188,2012-10-17,T,Season,1,T,NE,Fall Turkey,2012,24,1976,Male,douglas,21,36
18296,2013-05-23,T,Annual,1,T,NE,Fish,2013,18.5,1976,Male,douglas,21,37
18702,2013-06-13,T,Season,1,T,NE,Deer,2013,30,1976,Male,douglas,21,37
19143,2013-07-10,T,Season,1,T,NE,Deer,2013,30,1976,Male,douglas,21,37
23058,2014-04-24,T,Annual,1,T,NE,Fish,2014,18.5,1976,Male,douglas,21,38
23059,2014-04-24,T,Season,1,T,NE,Spring Turkey,2014,24,1976,Male,douglas,21,38
24247,2014-07-03,T,Season,1,T,NE,Deer,2014,30,1976,Male,douglas,21,38
27731,2015-03-16,T,Annual,1,T,NE,Fish,2015,18.5,1976,Male,douglas,21,39
29780,2015-07-15,T,Season,1,T,NE,Deer,2015,30,1976,Male,douglas,21,39
29781,2015-07-15,T,Season,1,T,NE,Deer,2015,30,1976,Male,douglas,21,39
33898,2016-04-20,T,Annual,1,T,NE,Fish,2016,19.5,1976,Male,douglas,21,40
33899,2016-04-20,T,Season,1,T,NE,Spring Turkey,2016,25,1976,Male,douglas,21,40
35381,2016-07-16,T,Season,1,T,NE,Deer,2016,31,1976,Male,douglas,21,40
40408,2017-06-26,T,Annual,1,T,NE,Fish,2017,23,1976,Male,douglas,21,41
4275,2010-10-22,T,Season,1,T,NE,Deer,2010,30,1961,Female,box butte,22,49
662,2010-02-05,T,Annual,1,T,NE,Hunt Fish Combo,2010,5,1937,Male,buffalo,23,73
6371,2011-03-12,T,Annual,1,T,NE,Hunt Fish Combo,2011,5,1937,Male,buffalo,23,74
11560,2012-02-02,T,Annual,1,T,NE,Hunt Fish Combo,2012,5,1937,Male,buffalo,23,75
17024,2013-02-07,T,Annual,1,T,NE,Hunt Fish Combo,2013,5,1937,Male,buffalo,23,76
22377,2014-03-15,T,Annual,1,T,NE,Hunt Fish Combo,2014,5,1937,Male,buffalo,23,77
27532,2015-02-11,T,Annual,1,T,NE,Hunt Fish Combo,2015,5,1937,Male,buffalo,23,78
32995,2016-02-18,T,Annual,1,T,NE,Hunt Fish Combo,2016,5,1937,Male,buffalo,23,79
38413,2017-01-28,T,Annual,1,T,NE,Hunt Fish Combo,2017,5,1937,Male,buffalo,23,80
43583,2018-02-16,T,Annual,1,T,NE,Hunt Fish Combo,2018,5,1937,Male,buffalo,23,81
4310,2010-10-24,T,Season,1,T,NE,Deer,2010,30,1954,Male,buffalo,24,56
5380,2010-12-09,T,Annual,1,T,NE,Hunt,2011,14,1954,Male,buffalo,24,56
5388,2010-12-09,NA,Annual,1,T,NE,WaterFowl,2011,5,1954,Male,buffalo,24,56
9241,2011-09-25,T,Season,1,T,NE,Deer,2011,30,1954,Male,buffalo,24,57
14707,2012-09-16,T,Season,1,T,NE,Deer,2012,30,1954,Male,buffalo,24,58
20557,2013-10-30,T,Season,1,T,NE,Deer,2013,30,1954,Male,buffalo,24,59
25510,2014-10-12,T,Season,1,T,NE,Deer,2014,30,1954,Male,buffalo,24,60
30438,2015-09-06,T,Annual,1,T,NE,Hunt,2015,14,1954,Male,buffalo,24,61
31161,2015-10-29,T,Season,1,T,NE,Deer,2015,30,1954,Male,buffalo,24,61
32761,2016-01-12,T,Annual,1,T,NE,Hunt,2016,15,1954,Male,buffalo,24,62
36070,2016-09-12,T,Season,1,T,NE,Deer,2016,31,1954,Male,buffalo,24,62
37748,2016-12-17,T,Season,1,T,NE,Deer,2016,31,1954,Male,buffalo,24,62
41904,2017-10-28,T,Season,1,T,NE,Deer,2017,37,1954,Male,buffalo,24,63
41905,2017-10-28,T,Annual,1,T,NE,Hunt,2017,18,1954,Male,buffalo,24,63
43222,2018-01-08,T,Annual,1,T,NE,Hunt,2018,18,1954,Male,buffalo,24,64
46791,2018-10-25,T,Season,1,T,NE,Deer,2018,37,1954,Male,buffalo,24,64
578,2010-01-21,T,Annual,1,T,NE,Hunt Fish Combo,2010,30,1967,Male,buffalo,25,43
3002,2010-07-16,T,Season,1,T,NE,Deer,2010,73.5,1967,Male,buffalo,25,43
8780,2011-08-21,T,Season,1,T,NE,Deer,2011,30,1967,Male,buffalo,25,44
8781,2011-08-21,T,Annual,1,T,NE,Hunt Fish Combo,2011,30,1967,Male,buffalo,25,44
9235,2011-09-24,T,Season,1,T,NE,Deer,2011,30,1967,Male,buffalo,25,44
